"";"Timestamp";"Gender";"Age";"City";"Profession";"Education";"Spread";"Emotion_Unbalance";"Places";"Holiday";"Counter";"Combat";"Equiped";"Safe";"Fear_Index";"Government_Efficiency";"Fear_on_Holiday";"Rumors_Impact";"NewSafeData";"NewAgeGroup";"NewEducation"
"1";"2/22/2017 14:47:45";"Female";"15-25";"Mumbai ";"Employee at an organisation";"Post Graduate";"4";"5";"4";"2";"4";"4";"4";"3";75;0,724348098186395;0,113046387625361;-0,38670281406684;"Neutral";"15-25";"Post Graduate"
"2";"2/22/2017 15:17:22";"Male";"15-25";"Mumbai ";"Employee at an organisation";"UnderGraduate";"4";"3";"4";"1";"3";"3";"4";"3";62,5;0,209542212506637;-0,281397653277835;-1,12525008897993;"Neutral";"15-25";"UnderGraduate"
"3";"2/22/2017 15:23:56";"Female";"15-25";"Mumbai ";"Student";"UnderGraduate";"4";"4";"4";"4";"4";"4";"4";"3";77,5;0,487281772415608;0,156003468420388;0,843504820323624;"Neutral";"15-25";"UnderGraduate"
"4";"2/22/2017 15:25:28";"Female";"15-25";"Mumbai ";"Student";"UnderGraduate";"4";"4";"4";"4";"2";"2";"2";"3";62,5;-1,52583744242604;0,226165509609624;0,778472372616163;"Neutral";"15-25";"UnderGraduate"
"5";"2/22/2017 15:41:22";"Female";"15-25";"Mumbai ";"Student";"UnderGraduate";"3";"5";"5";"4";"2";"2";"3";"2";65;-1,23206973355218;-0,342606966201428;0,842522590102512;"Safe";"15-25";"UnderGraduate"
"6";"2/22/2017 16:38:09";"Female";"15-25";"Mumbai ";"Employee at an organisation";"Post Graduate";"4";"3";"5";"5";"2";"4";"4";"4";77,5;0,113722029197376;0,178961927309051;1,75303985247236;"Unsafe";"15-25";"Post Graduate"
"7";"2/22/2017 16:38:35";"Female";"15-25";"Mumbai ";"Employee at an organisation";"Post Graduate";"4";"3";"5";"5";"2";"4";"4";"4";77,5;0,113722029197376;0,178961927309051;1,75303985247236;"Unsafe";"15-25";"Post Graduate"
"8";"2/22/2017 17:18:23";"Male";"45-55";"Pune";"Self Employed";"Post Graduate";"4";"2";"5";"1";"3";"3";"4";"1";57,5;-0,026543402571085;-0,20896750307222;-1,62095482113588;"Safe";"45-55";"Post Graduate"
"9";"2/22/2017 18:00:57";"Male";"15-25";"Delhi";"Student";"UnderGraduate";"3";"3";"4";"4";"4";"4";"4";"3";72,5;0,572064132010937;-0,868251614824986;0,999632738284308;"Neutral";"15-25";"UnderGraduate"
"10";"2/22/2017 18:07:34";"Male";"25-35";"Mumbai ";"Employee at an organisation";"Masters";"4";"5";"5";"2";"4";"4";"2";"2";70;-0,101787685797153;0,365587506682104;-0,643131965279787;"Safe";"25-35";"Post Graduate"
"11";"2/22/2017 18:08:52";"Male";"35-45";"Mumbai ";"Other";"Post Graduate";"5";"5";"4";"4";"4";"4";"2";"2";75;-0,420241612670861;1,28036214457306;0,397684112562869;"Safe";"35-45";"Post Graduate"
