"","country_txt","Total_Incidents","Total_Kill","Total_Wound","GTI_Score","GTI_Cluster"
"86","Iraq",18770,58855,115042,18.0733504666703,"High"
"136","Pakistan",12768,21597,38012,7.62800756943326,"High"
"1","Afghanistan",9690,27018,31636,6.96492214696567,"High"
"82","India",9940,18317,27257,5.83440959216927,"High"
"36","Colombia",8077,14562,10138,3.8487766028812,"Low"
"169","Sri Lanka",2982,15505,15537,2.91137399104729,"Medium"
"132","Nigeria",2888,18509,8135,2.73519010616671,"Medium"
"141","Peru",6085,12752,4067,2.73362619848869,"Medium"
"142","Philippines",5576,8645,11974,2.6618307754303,"Medium"
"53","El Salvador",5320,12053,5062,2.51558344049399,"Medium"
"3","Algeria",2720,11082,9062,1.96234408733271,"Low"
"177","Syria",1468,10363,9790,1.59346210962481,"Low"
"190","United Kingdom",4992,3395,5616,1.54552407166127,"Low"
"185","Turkey",3557,5659,6789,1.47100516361152,"Low"
"161","Somalia",2890,6695,6229.000000001,1.36465946275157,"Low"
"202","Yemen",2598,6495,7276,1.33075018426798,"Low"
"130","Nicaragua",1970,10598,1731,1.24392812738509,"Low"
"101","Lebanon",2413,4011,10779,1.23957525220439,"Low"
"181","Thailand",3338,2546,7148,1.10498148206941,"Low"
"149","Russia",2104,4182,7271,0.951915843515507,"Low"
"168","Spain",3239,1261,4814,0.794396368603507,"Low"
"191","United States",2693,3577,3199,0.789475379249964,"Low"
"88","Israel",2085,1677,7500,0.696145211144516,"Low"
"73","Guatemala",2050,5167,1231,0.659108553379648,"Low"
"162","South Africa",1957,2629,4527,0.574013054918635,"Low"
"14","Bangladesh",1513,1121,7884,0.506789334343709,"Low"
"52","Egypt",1799,2340,3515,0.436581362822193,"Low"
"199","West Bank and Gaza Strip",1990,1375,2860,0.344670792961773,"Low"
"61","France",2617,430,1717,0.341989890291099,"Low"
"188","Ukraine",1583,2173,2731,0.310799794478989,"Low"
"104","Libya",1643,1679,2393,0.253353718142763,"Low"
"95","Kenya",517,1744,6097,0.189989783368646,"Low"
"28","Burundi",504,4108,2112,0.184351813222921,"Low"
"34","Chile",2334,226,749,0.18250677399325,"Low"
"172","Sudan",688,3618.999999978,1780.000000001,0.161377959055685,"Low"
"85","Iran",667,1626,4057,0.0889317994089517,"Low"
"125","Nepal",923,1963,2039,0.0661148155933408,"Low"
"5","Angola",491,3036,2044,0.0630675681713335,"Low"
"92","Japan",400,47,6972,0.034115399131226,"Low"
"89","Italy",1545,412,1177,0.0157343209264794,"Low"
"44","Democratic Republic of the Congo",459,2928,989,-0.0238254193725965,"Low"
"187","Uganda",366,2983,1124,-0.0346286063463041,"Low"
"83","Indonesia",714,1191.999998203,2395,-0.0495161441305104,"Low"
"150","Rwanda",156,3234,914,-0.0782005225172376,"Low"
"122","Mozambique",272,2627,1423,-0.0788182620264963,"Low"
"70","Greece",1200,258,724,-0.122629420833273,"Low"
"7","Argentina",804,489,753,-0.203529707899431,"Low"
"123","Myanmar",347,984,1524,-0.226017039800511,"Low"
"35","China",242,1002,1915,-0.227774827168093,"Low"
"30","Cameroon",180,1846,493,-0.245266615114741,"Low"
"57","Ethiopia",150,1419,1078,-0.261538919880919,"Low"
"118","Mexico",499,753,677,-0.262954726557621,"Low"
"164","South Sudan",111,1420,873,-0.284969486913593,"Low"
"33","Chad",80,1035,1612,-0.287316176623441,"Low"
"113","Mali",319,839,784,-0.295798119512104,"Low"
"67","Germany",649,61,559,-0.303066646212543,"Low"
"32","Central African Republic",202,1201,529,-0.305298848089239,"Low"
"200","West Germany (FRG)",541,97,862,-0.30930335088567,"Low"
"151","Saudi Arabia",193,479,1401,-0.328937340740267,"Low"
"29","Cambodia",258,543,786,-0.343510844845752,"Low"
"131","Niger",116,1136,257,-0.352678652187546,"Low"
"179","Tajikistan",184,304,1109,-0.368384239305675,"Low"
"78","Honduras",321,303,240,-0.386431912600839,"Low"
"156","Sierra Leone",97,838.999999999,122,-0.397803681681555,"Low"
"77","Haiti",212,329,300,-0.409384045529279,"Low"
"66","Georgia",212,277,380,-0.40982222705722,"Low"
"24","Brazil",267,202,160,-0.41680336090594,"Low"
"196","Venezuela",269,213,131,-0.416934019165162,"Low"
"21","Bolivia",314,42,166,-0.420636258322743,"Low"
"124","Namibia",151,220,406,-0.430719684791275,"Low"
"87","Ireland",274,115,27,-0.43253804345408,"Low"
"152","Senegal",118,325,323,-0.433794087164286,"Low"
"203","Yugoslavia",203,119,281,-0.435249409976074,"Low"
"96","Kosovo",180,83,361,-0.440219576869309,"Low"
"184","Tunisia",92,283,391,-0.440971121975364,"Low"
"51","Ecuador",215,53,65,-0.452663537417907,"Low"
"13","Bahrain",182,37,161,-0.457210524367265,"Low"
"31","Canada",76,343,73,-0.459086721098667,"Low"
"204","Zaire",48,325,215,-0.459579390580001,"Low"
"22","Bosnia-Herzegovina",159,79,150,-0.45968718628153,"Low"
"17","Belgium",142,41,238,-0.462738463430251,"Low"
"206","Zimbabwe",98,154,221,-0.463764511023525,"Low"
"147","Rhodesia",83,217,158,-0.465145737566715,"Low"
"121","Morocco",36,287,200,-0.467799108285093,"Low"
"90","Ivory Coast",60,243,136,-0.470012332614533,"Low"
"11","Azerbaijan",45,252,184,-0.470080550146545,"Low"
"93","Jordan",92,94,194,-0.473448495204291,"Low"
"144","Portugal",139,32,95,-0.473557555951591,"Low"
"39","Croatia",57,248,73,-0.474284203459468,"Low"
"97","Kuwait",74,62,299,-0.475058993713467,"Low"
"46","Djibouti",21,274,162,-0.475641173244547,"Low"
"137","Panama",126,38,83,-0.477201053361785,"Low"
"176","Switzerland",107,74,94,-0.477837066702672,"Low"
"41","Cyprus",130,45,41,-0.478036867621272,"Low"
"111","Malaysia",76,142,90,-0.479284036774346,"Low"
"167","Soviet Union",78,96,150,-0.479812208457286,"Low"
"108","Macedonia",117,49,60,-0.479929174492348,"Low"
"126","Netherlands",121,35,55,-0.480644837408912,"Low"
"10","Austria",106,28,126,-0.480950163544822,"Low"
"138","Papua New Guinea",81,79,88,-0.484725206987144,"Low"
"48","Dominican Republic",89,32,123,-0.485318155644216,"Low"
"180","Tanzania",50,62,228,-0.486050684603696,"Low"
"2","Albania",77,42,126,-0.487317849476437,"Low"
"139","Paraguay",89,44,66,-0.487657229339935,"Low"
"74","Guinea",24,212,57,-0.488039636532788,"Low"
"175","Sweden",102,17,47,-0.488199229646131,"Low"
"9","Australia",88,19,91,-0.488990926469428,"Low"
"103","Liberia",33,177,36,-0.490637670236837,"Low"
"205","Zambia",60,70,62,-0.493008115435745,"Low"
"193","Uzbekistan",21,68,200,-0.495038000393772,"Low"
"146","Republic of the Congo",21,151,53,-0.495561126839431,"Low"
"178","Taiwan",47,60,86,-0.496065582659086,"Low"
"182","Togo",48,76,34,-0.497394036462025,"Low"
"173","Suriname",66,29,24,-0.498129608900232,"Low"
"38","Costa Rica",67,17,38,-0.49824255477062,"Low"
"192","Uruguay",75,5,5,-0.499436771999851,"Low"
"189","United Arab Emirates",22,123,27,-0.499900238530432,"Low"
"163","South Korea",37,10,134,-0.501024975896897,"Low"
"26","Bulgaria",51,28,35,-0.50159900049236,"Low"
"72","Guadeloupe",56,8,45,-0.501729254255852,"Low"
"135","Norway",18,79,88,-0.501777434641212,"Low"
"16","Belarus",13,14,212,-0.502158872107791,"Low"
"109","Madagascar",26,28,94,-0.504629973755304,"Low"
"91","Jamaica",34,42,36,-0.504655324692775,"Low"
"102","Lesotho",29,46,34,-0.50571195506097,"Low"
"79","Hong Kong",26,4,102,-0.506663573426912,"Low"
"80","Hungary",45,6,15,-0.506817857278867,"Low"
"8","Armenia",22,31,70,-0.50691477739319,"Low"
"127","New Caledonia",31,35,23,-0.507031350421627,"Low"
"45","Denmark",40,4,26,-0.507686385511252,"Low"
"49","East Germany (GDR)",38,2,37,-0.507742902902966,"Low"
"76","Guyana",25,41,24,-0.507957017079507,"Low"
"119","Moldova",20,13,88,-0.508221497285111,"Low"
"99","Laos",22,23,58,-0.508521313355342,"Low"
"107","Macau",33,1,46,-0.508632228429899,"Low"
"143","Poland",34,7,30,-0.508739615391044,"Low"
"55","Eritrea",10,46,62,-0.509081776066672,"Low"
"116","Mauritania",18,43,28,-0.509386756682012,"Low"
"94","Kazakhstan",24,29,10,-0.510384217828881,"Low"
"98","Kyrgyzstan",28,9,20,-0.510785141872597,"Low"
"42","Czech Republic",27,6,28,-0.510866783532136,"Low"
"40","Cuba",30,8,10,-0.510982824439833,"Low"
"15","Barbados",3,76,3,-0.511537068496171,"Low"
"165","South Vietnam",1,81,0,-0.511739166949725,"Low"
"183","Trinidad and Tobago",22,6,35,-0.511776906353617,"Low"
"68","Ghana",18,19,13,-0.512876678829564,"Low"
"43","Czechoslovakia",10,27,23,-0.513562141846237,"Low"
"100","Latvia",16,2,36,-0.513760967436398,"Low"
"114","Malta",20,4,12,-0.513986248274988,"Low"
"59","Fiji",17,8,18,-0.513994991134582,"Low"
"158","Slovak Republic",17,7,10,-0.514607377525226,"Low"
"75","Guinea-Bissau",9,17,27,-0.514637933077284,"Low"
"112","Maldives",17,0,18,-0.514841706674502,"Low"
"56","Estonia",16,3,11,-0.51523808720689,"Low"
"60","Finland",15,9,4,-0.515316949411808,"Low"
"174","Swaziland",16,6,3,-0.515427115827575,"Low"
"129","New Zealand",18,0,2,-0.515584130290588,"Low"
"106","Luxembourg",16,0,6,-0.515872197376957,"Low"
"110","Malawi",4,33,0,-0.51600744934858,"Low"
"23","Botswana",10,11,11,-0.516015393348309,"Low"
"197","Vietnam",10,1,27,-0.516060693876902,"Low"
"50","East Timor",10,9,7,-0.516480345707367,"Low"
"27","Burkina Faso",9,9,11,-0.516497742513513,"Low"
"153","Serbia",11,3,8,-0.516781393713565,"Low"
"71","Grenada",5,9,21,-0.516947239949213,"Low"
"154","Serbia-Montenegro",11,3,5,-0.516971348819123,"Low"
"145","Qatar",7,7,13,-0.517124125221901,"Low"
"115","Martinique",12,0,1,-0.517271470340447,"Low"
"20","Bhutan",6,9,5,-0.517689663565299,"Low"
"62","French Guiana",7,1,13,-0.517759161876842,"Low"
"19","Benin",8,0,8,-0.517910922881705,"Low"
"148","Romania",6,4,9,-0.517965587303672,"Low"
"157","Singapore",7,5,3,-0.517968987792074,"Low"
"18","Belize",8,3,0,-0.518099951502389,"Low"
"140","People's Republic of the Congo",3,15,0,-0.518183229593625,"Low"
"105","Lithuania",8,1,2,-0.518184993650331,"Low"
"65","Gambia",3,13,2,-0.518268271741566,"Low"
"134","North Yemen",6,3,1,-0.518577973694316,"Low"
"159","Slovenia",6,1,2,-0.518726334210777,"Low"
"64","Gabon",4,6,1,-0.518801795927293,"Low"
"47","Dominica",3,3,10,-0.518820119218313,"Low"
"201","Western Sahara",5,1,4,-0.518870367753962,"Low"
"63","French Polynesia",3,0,13,-0.518947682440225,"Low"
"37","Comoros",5,1,2,-0.518997004491001,"Low"
"160","Solomon Islands",4,4,0,-0.519076793180792,"Low"
"12","Bahamas",5,1,0,-0.519123641228039,"Low"
"120","Montenegro",5,1,0,-0.519123641228039,"Low"
"171","St. Lucia",1,2,12,-0.519340662484211,"Low"
"84","International",1,1,12,-0.519446501926701,"Low"
"170","St. Kitts and Nevis",2,0,9,-0.519471626194525,"Low"
"81","Iceland",4,0,0,-0.519500150950752,"Low"
"186","Turkmenistan",2,3,3,-0.519534018078171,"Low"
"54","Equatorial Guinea",2,2,3,-0.519639857520661,"Low"
"133","North Korea",1,3,4,-0.519741369989875,"Low"
"166","South Yemen",2,0,2,-0.519914854774161,"Low"
"117","Mauritius",2,0,1,-0.51997817314268,"Low"
"69","Gibraltar",1,3,0,-0.519994643463952,"Low"
"155","Seychelles",2,0,0,-0.520041491511199,"Low"
"194","Vanuatu",2,0,0,-0.520041491511199,"Low"
"195","Vatican City",1,0,3,-0.520122206685865,"Low"
"25","Brunei",1,0,1,-0.520248843422903,"Low"
"4","Andorra",1,0,0,-0.520312161791422,"Low"
"6","Antigua and Barbuda",1,0,0,-0.520312161791422,"Low"
"58","Falkland Islands",1,0,0,-0.520312161791422,"Low"
"128","New Hebrides",1,0,0,-0.520312161791422,"Low"
"198","Wallis and Futuna",1,0,0,-0.520312161791422,"Low"
